,idno,author-short,title-short,year,genre,subgenre,structure,form,decade
tc0680,tc0680,DuRyer,Scévole,1646,drama,Tragédie,cinq actes,vers,1640s
tc0817,tc0817,LaCalprenede,Jeanne,1648,drama,Tragédie,cinq actes,vers,1640s
tc0795,tc0795,LeVayerDeBoutigny,Grand-sélim,1644,drama,Tragédie,cinq actes,vers,1640s
tc0014,tc0014,Magnon,Tamerlan,1644,drama,Tragédie,cinq actes,vers,1640s
tc0051,tc0051,Magnon,Artaxerxe,1644,drama,Tragédie,cinq actes,vers,1640s
tc0010,tc0010,Rotrou,Saint-Genest,1646,drama,Tragédie,cinq actes,vers,1640s
tc0654,tc0654,Rotrou,Cosroës,1648,drama,Tragédie,cinq actes,vers,1640s
tc0522,tc0522,Scudéry,Arminius,1642,drama,Tragédie,cinq actes,vers,1640s
tc0760,tc0760,TristanLHermite,Mort-Sénèque,1644,drama,Tragédie,cinq actes,vers,1640s
tc0908,tc0908,TristanLHermite,Osman,1646,drama,Tragédie,cinq actes,vers,1640s
tc0662,tc0662,CorneilleP,Nicomède,1651,drama,Tragédie,cinq actes,vers,1650s
tc0869,tc0869,CorneilleP,Pertharite-roi-Lombards,1651,drama,Tragédie,cinq actes,vers,1650s
tc0707,tc0707,CorneilleP,Oedipe,1659,drama,Tragédie,cinq actes,vers,1650s
tc0052,tc0052,CorneilleT,Timocrate,1656,drama,Tragédie,cinq actes,vers,1650s
tc0480,tc0480,CorneilleT,Bérénice,1657,drama,Tragédie,cinq actes,vers,1650s
tc0607,tc0607,CorneilleT,Mort-Commode,1657,drama,Tragédie,cinq actes,vers,1650s
tc0606,tc0606,CorneilleT,Darius,1659,drama,Tragédie,cinq actes,vers,1650s
tc0628,tc0628,Cyrano,Mort-Agrippine,1654,drama,Tragédie,cinq actes,vers,1650s
tc0748,tc0748,Pure,Ostorius,1658,drama,Tragédie,cinq actes,vers,1650s
tc0022,tc0022,Boyer,Oropaste,1662,drama,Tragédie,cinq actes,vers,1660s
tc0618,tc0618,CorneilleP,Sertorius,1662,drama,Tragédie,cinq actes,vers,1660s
tc0242,tc0242,CorneilleP,Sophonisbe,1663,drama,Tragédie,cinq actes,vers,1660s
tc0251,tc0251,CorneilleP,Othon,1664,drama,Tragédie,cinq actes,vers,1660s
tc0852,tc0852,CorneilleP,Agésilas,1666,drama,Tragédie,cinq actes,vers,1660s
tc0308,tc0308,CorneilleP,Attila,1667,drama,Tragédie,cinq actes,vers,1660s
tc0570,tc0570,CorneilleT,Stilicon,1660,drama,Tragédie,cinq actes,vers,1660s
tc0017,tc0017,CorneilleT,Pyrrhus,1661,drama,Tragédie,cinq actes,vers,1660s
tc0884,tc0884,CorneilleT,Camma,1661,drama,Tragédie,cinq actes,vers,1660s
tc0464,tc0464,CorneilleT,Persée-Démétrius,1662,drama,Tragédie,cinq actes,vers,1660s
tc0905,tc0905,CorneilleT,Maximian,1662,drama,Tragédie,cinq actes,vers,1660s
tc0264,tc0264,CorneilleT,Mort-Annibal,1669,drama,Tragédie,cinq actes,vers,1660s
tc0469,tc0469,Prade,Arsace,1662,drama,Tragédie,cinq actes,vers,1660s
tc0439,tc0439,Racine,Thébaïde,1664,drama,Tragédie,cinq actes,vers,1660s
tc0429,tc0429,Racine,Alexandre-Grand,1665,drama,Tragédie,cinq actes,vers,1660s
tc0851,tc0851,Racine,Andromaque,1667,drama,Tragédie,cinq actes,vers,1660s
tc0360,tc0360,Racine,Britannicus,1669,drama,Tragédie,cinq actes,vers,1660s
tc0121,tc0121,Gilbert,Rodogune,1645,drama,Tragi-comédie,cinq actes,vers,1640s
tc0526,tc0526,Gilbert,Téléphonte,1645,drama,Tragi-comédie,cinq actes,vers,1640s
tc0389,tc0389,GuerinDeBouscal,Don-Quichotte,1645,drama,Tragi-comédie,cinq actes,vers,1640s
tc0577,tc0577,GuerinDeBouscal,Fils-désavoué,1645,drama,Tragi-comédie,cinq actes,vers,1640s
tc0026,tc0026,Magnon,Oroondate-Statira,1644,drama,Tragi-comédie,cinq actes,vers,1640s
tc0300,tc0300,Magnon,Josaphat,1644,drama,Tragi-comédie,cinq actes,vers,1640s
tc0371,tc0371,Rotrou,Don-Bernard-Cabrere,1646,drama,Tragi-comédie,cinq actes,vers,1640s
tc0127,tc0127,Rotrou,Venceslas,1647,drama,Tragi-comédie,cinq actes,vers,1640s
tc0250,tc0250,Sallebray,Belle-égyptienne,1641,drama,Tragi-comédie,cinq actes,vers,1640s
tc0523,tc0523,Boyer,Fédéric,1659,drama,Tragi-comédie,cinq actes,vers,1650s
tc0336,tc0336,DuBoscDeMontandre,Balance-état,1652,drama,Tragi-comédie,cinq actes,vers,1650s
tc0005,tc0005,DuRyer,Dynamis,1650,drama,Tragi-comédie,cinq actes,vers,1650s
tc0821,tc0821,DuRyer,Anaxandre,1654,drama,Tragi-comédie,cinq actes,vers,1650s
tc0890,tc0890,GilletDeLaTessonerie,Art-régner,1656,drama,Tragi-comédie,cinq actes,vers,1650s
tc0598,tc0598,Quinault,Fantome-amoureux,1659,drama,Tragi-comédie,cinq actes,vers,1650s
tc0592,tc0592,Scarron,Escolier-salamanque,1654,drama,Tragi-comédie,cinq actes,vers,1650s
tc0410,tc0410,Villiers,Festin-Pierre,1659,drama,Tragi-comédie,cinq actes,vers,1650s
tc0663,tc0663,Desjardins,Manlius,1662,drama,Tragi-comédie,cinq actes,vers,1660s
tc0585,tc0585,Desjardins,Favori,1665,drama,Tragi-comédie,cinq actes,vers,1660s
tc0730,tc0730,Quinault,Stratonice,1660,drama,Tragi-comédie,cinq actes,vers,1660s
tc0562,tc0562,Rosimond,Nouveau-festin-Pierre,1669,drama,Tragi-comédie,cinq actes,vers,1660s
tc0544,tc0544,Scarron,Fausse-apparence,1662,drama,Tragi-comédie,cinq actes,vers,1660s
