Pourquoi	Rt	pourquoi
régnez	Vvc	régner
en	S	en
Romaine	Nc	romain|romaine
;	Fw	;
Imposez	Vvc	imposer
-vous	Nc	-vous
des	S+Da	de+le|de+les
lois	Nc	loi
dignes	Ag	digne
de	S	de
notre	Ds	notre
haine	Nc	haine
;	Fw	;
Commandez-nous	Vvc	commandez-nous
de	S	de
vaincre	Vvn	vaincre
;	Fw	;
et	Cc	et
par	S	par
notre	Ds	notre
valeur	Nc	valeur
,	Fw	,
Porter	Nc	porter
chez	S	chez
l'	Da	le
ennemi	Nc	ennemi
la	Da	le
honte	Nc	honte
,	Fw	,
et	Cc	et
le	Da	le
malheur	Nc	malheur
.	Fs	.
Redoublez	Vvc	redoubler
mes	Ds	mon
ardeurs	Nc	ardeur
,	Fw	,
et	Cc	et
mon	Ds	mon
obéissance	Nc	obéissance
,	Fw	,
Par	Nc	par
le	Da	le
soin	Nc	soin
de	S	de
ma	Ds	mon
gloire	Nc	gloire
,	Fw	,
et	Cc	et
de	S	de
votre	Ds	votre
vengeance	Nc	vengeance
;	Fw	;
Enfin	Nc	enfin
commandez	Vvc	commander
-moi	Vvc	-moi
de	S	de
sortir	Vvn	sortir
de	S	de
ces	Dd	ce
lieux	Nc	lieu
,	Fw	,
Et	Vvc	et
par	S	par
de	Dn	un
telles	Ag	tel
lois	Nc	loi
faites	Vvc	faire
-moi	Vvc	-moi
vos	Ds	votre
adieux	Nc	adieu
.	Fs	.
Mais	Cc	mais
vous	Pp	vous
pleurez	Vvc	pleurer
Porcie	Vvc	porcie
;	Fw	;
est	Vuc	être
-ce	Ge	-ce
avecque	Vvc	avecque
des	Dn	un
larmes	Nc	larme
,	Fw	,
Que	Vvc	que
vous	Pp	vous
me	Pp	je
commandez	Vvc	commander
d'	S	de
aller	Vvn	aller
prendre	Vvn	prendre
les	Da	le
armes	Nc	arme|armé
?	Fs	?
Voulez	Vvc	vouloir
-vous	Nc	-vous
de	S	de
la	Da	le
sorte	Nc	sorte
animer	Vvn	animer
ce	Dd	ce
grand	Ag	grand
coeur	Nc	cœur
?	Fs	?
N'	Rp	ne
est	Vuc	être
-ce	Vvc	-ce
pas	Rg	pas
lui	Pp	il
défendre	Vvn	défendre
avec	S	avec
trop	Rg	trop
de	S	de
rigueur	Nc	rigueur
,	Fw	,
Ce	Vvc	ce
que	Cs	que
votre	Ds	votre
Vertu	Nc	vertu
lui	Pp	il
commande	Vvc	commander
sans	S	sans
cesse	Nc	cesse
?	Fs	?
Se	Pp	il
peut-elle	Rg	peut-elle
accorder	Vvn	accorder
avec	S	avec
tant	Rg	tant
de	S	de
faiblesse	Nc	faiblesse
?	Fs	?
Par	S	par
quels	Dt	quel
voeux	Nc	vœu
autrefois	Rg	autrefois
dignes	Ag	digne
de	S	de
notre	Ds	notre
amour	Nc	amour
Pressiez	Vvc	presser
-vous	Nc	-vous
tous	Di	tout
les	Da	le
Dieux	Nc	dieux
de	S	de
hâter	Vvn	hâter
ce	Dd	ce
grand	Ag	grand
jour	Nc	jour
?	Fs	?
De	S	de
venger	Vvn	venger
votre	Ds	votre
père	Nc	père
,	Fw	,
et	Cc	et
par	S	par
des	Dn	un
morts	Nc	mort
sans	S	sans
nombre	Nc	nombre
,	Fw	,
Remplir	Nc	remplir
pompeusement	Rg	pompeusement
l'	Da	le
attente	Nc	attente
de	S	de
son	Ds	son
ombre	Nc	ombre
?	Fs	?
Blâmez	Vvc	blâmez
-vous	Nc	-vous
maintenant	Rg	maintenant
par	S	par
des	Dn	un
lâches	Ag	lâche
soupirs	Nc	soupir
,	Fw	,
Ceux	Nc	ceux
que	Pr	que
mirent	Vvc	mettre|mirer
au	S+Da	à+le
jour	Nc	jour
ces	Dd	ce
glorieux	Ag	glorieux
désirs	Nc	désir
.	Fs	.
Faites	Vvc	faire
à	S	à
ces	Dd	ce
soupirs	Nc	soupir
une	Dn	un
plus	Rg	plus
noble	Ag	noble
cause	Nc	cause
;	Fw	;
Qu'	Vvc	qu'
ils	Pp	ils
servent	Vvc	servir
au	S+Da	à+le
dessein	Nc	dessein
,	Fw	,
que	Cs	que
mon	Ds	mon
coeur	Nc	cœur
se	Pp	il
propose	Vvc	proposer
;	Fw	;
Changez	Vvc	changer
en	S	en
des	Dn	un
effets	Nc	effet
de	S	de
générosité	Nc	générosité
,	Fw	,
Ces	Vvc	ces
indignes	Ag	indigne
témoins	Nc	témoin
de	S	de
notre	Ds	notre
lâcheté	Nc	lâcheté
:	Fw	:
Soupirez	Vvc	soupirer
pour	S	pour
ma	Ds	mon
gloire	Nc	gloire
,	Fw	,
ainsi	Rg	ainsi
que	Cs	que
pour	S	pour
la	Da	le
vôtre	As#Ps	vôtre
;	Fw	;
Enfin	Nc	enfin
soyez	Vuc	être
Porcie	Vvc	porcie
,	Fw	,
et	Cc	et
ne	Rp	ne
soyez	Vuc	être
point	Rg	point
autre	Ag	autre
.	Fs	.
Me	Pp	je
méconnaissez	Vvc	méconnaître
-vous	Nc	-vous
sous	S	sous
un	Dn	un
voile	Nc	voile
de	S	de
pleurs	Nc	pleur
?	Fs	?
Ou	Cc	ou
bien	Rg	bien
suis	Vuc	être
-je	Ge	-je
changée	Ge	changer
au	S+Da	à+le
milieu	Nc	milieu
des	S+Da	de+le|de+les
douleurs	Nc	douleur
?	Fs	?
Est	Vuc	être
-ce	Vvc	-ce
là	Rg	là
le	Da	le
reproche	Nc	reproche
où	Pr	où
mon	Ds	mon
amour	Nc	amour
m'	Pp	je
expose	Vvc	exposer
?	Fs	?
Condamnez	Vvc	condamner
-vous	Nc	-vous
l'	Da	le
effet	Nc	effet
dont	Pr	dont
vous	Pp	vous
aimez	Vvc	aimer
la	Da	le
cause	Nc	cause
?	Fs	?
Si	Cs	si
j'	Pp	je
ai	Vuc	avoir
versé	Ge	verser
des	S+Da	de+le|de+les
pleurs	Nc	pleur
dans	S	dans
ce	Dd	ce
funeste	Ag	funeste
jour	Nc	jour
,	Fw	,
En	Vvc	en
cherchez	Vvc	chercher
-vous	Nc	-vous
la	Da	le
source	Nc	source
ailleurs	Rg	ailleurs
qu'	Cs	que
en	S	en
mon	Ds	mon
amour	Nc	amour
?	Fs	?
Je	Pp	je
jure	Vvc	jurer
,	Fw	,
si	Cs	si
jamais	Rg	jamais
la	Da	le
crainte	Nc	crainte
ou	Cc	ou
la	Da	le
faiblesse	Nc	faiblesse
,	Fw	,
Déshonoraient	Vvc	déshonoraient
ce	Dd	ce
front	Nc	front
de	S	de
la	Da	le
moindre	Ag	moindre
tristesse	Nc	tristesse
,	Fw	,
De	Vvc	de
laver	Vvn	laver
dans	S	dans
mon	Ds	mon
sang	Nc	sang
la	Da	le
honte	Nc	honte
de	S	de
ces	Dd	ce
pleurs	Nc	pleur
,	Fw	,
Et	Vvc	et
punir	Vvn	punir
par	S	par
ma	Ds	mon
mort	Nc	mort
,	Fw	,
l'	Da	le
effet	Nc	effet
de	S	de
nos	Ds	notre
malheurs	Nc	malheur
.	Fs	.
Dieux	Nc	dieux
!	Fs	!
J'	Pp	je
ai	Vuc	avoir
fait	Ge	faire
de	S	de
mes	Ds	mon
pleurs	Nc	pleur
un	Dn	un
assez	Rg	assez
long	Ag	long
usage	Nc	usage
,	Fw	,
Mais	Vvc	mais
y	Pp	y
remarquez	Vvc	remarquer
-vous	Nc	-vous
un	Dn	un
défaut	Nc	défaut
de	S	de
courage	Nc	courage
.	Fs	.
Non	Rg	non
non	Rg	non
,	Fw	,
Brute	Vvc	brute
,	Fw	,
mais	Cc	mais
j'	Pp	je
aime	Vvc	aimer
,	Fw	,
et	Cc	et
puisque	Cs	puisque
vous	Pp	vous
m'	Pp	je
aimez	Vvc	aimer
,	Fw	,
Pardonnez	Vvc	pardonner
à	S	à
l'	Da	le
amour	Nc	amour
,	Fw	,
le	Da	le
deuil	Nc	deuil
que	Pr	que
vous	Pp	vous
blâmez	Vvc	blâmer
Les	Nc	lé
Dieux	Ag	dieux
me	Pp	je
sont	Vuc	être
témoins	Nc	témoin
que	Cs	que
cette	Dd	ce
impatience	Nc	impatience
,	Fw	,
Qu'	Vvc	qu'
excite	Vvc	exciter
dans	S	dans
nos	Ds	notre
coeurs	Nc	cœur
une	Dn	un
illustre	Ag	illustre
vengeance	Nc	vengeance
,	Fw	,
Me	Vvc	me
presse	Vvc	presser
comme	S	comme
vous	Pp	vous
par	S	par
des	Dn	un
efforts	Nc	effort
puissants	Ag	puissant
.	Fs	.
Et	Cc	et
votre	Ds	votre
impatience	Nc	impatience
est	Vuc	être
celle	Pd	celui
que	Pr	que
je	Pp	je
sens	Vvc	sentir
.	Fs	.
Mais	Cc	mais
pour	S	pour
faire	Vvn	faire
éclater	Vvn	éclater
ce	Dd	ce
feu	Nc	feu
qui	Pr	qui
me	Pp	je
consomme	Vvc	consommer
,	Fw	,
Recevez	Vvc	recevoir
cet	Dd	ce
aveu	Nc	aveu
fait	Ge	faire
en	S	en
faveur	Nc	faveur
de	S	de
Rome	Nc	rome
.	Fs	.
Il	Pp	il
est	Vuc	être
vrai	Ag	vrai
,	Fw	,
j'	Pp	je
aime	Vvc	aimer
Brute	Vvc	brute
avec	S	avec
toute	Di	tout
l'	Da	le
ardeur	Nc	ardeur
,	Fw	,
Qu'	Vvc	qu'
une	Dn	un
amitié	Nc	amitié
constante	Ag	constant
exige	Vvc	exiger
d'	S	de
un	Dn	un
grand	Ag	grand
coeur	Nc	cœur
:	Fw	:
Mais	Cc	mais
avec	S	avec
quelque	Di	quelque
ardeur	Nc	ardeur
dont	Pr	dont
j'	Pp	je
aime	Vvc	aimer
un	Dn	un
si	Rg	si
grand	Ag	grand
homme	Nc	homme
,	Fw	,
Si	Vvc	si
je	Pp	je
l'	Pp	il
aime	Vvc	aimer
beaucoup	Rg	beaucoup
,	Fw	,
c'	Pd	ce
est	Vuc	être
un	Dn	un
peu	Rg	peu
moins	Rg	moins
que	Pr	que
Rome	Vvc	rome
.	Fs	.
J'	Pp	je
exposerais	Vvc	exposer
pour	S	pour
elle	Pp	il
amis	Nc	ami
,	Fw	,
parents	Nc	parent
,	Fw	,
époux	Nc	époux
;	Fw	;
Voilà	Vvc	voilà
les	Da	le
sentiments	Nc	sentiment
,	Fw	,
que	Cs	que
j'	Pp	je
ai	Vuc	avoir
reçu	Ge	recevoir
de	S	de
vous	Pp	vous
;	Fw	;
C'	Vvc	c'
est	Vuc	être
ce	Dd	ce
zèle	Nc	zèle
romain	Ag	romain
,	Fw	,
et	Cc	et
cette	Dd	ce
belle	Ag	beau
flamme	Nc	flamme
Que	Vvc	que
le	Da	le
sang	Nc	sang
des	S+Da	de+le|de+les
Catons	Nc	catons
a	Vuc	avoir
versé	Ge	verser
dans	S	dans
mon	Ds	mon
âme	Nc	âme
.	Fs	.
Si	Cs	si
la	Da	le
voix	Nc	voix
de	S	de
mes	Ds	mon
pleurs	Nc	pleur
a	Vuc	avoir
retardé	Ge	retarder
vos	Ds	votre
pas	Nc	pas
,	Fw	,
Suivez	Vvc	suivre
celle	Pd	celui
de	S	de
Rome	Nc	rome
,	Fw	,
et	Cc	et
ne	Rp	ne
différez	Vvc	différer
pas	Rg	pas
:	Fw	:
Ne	Rp	ne
vous	Pp	vous
souvenez	Vvc	souvenir
plus	Rg	plus
que	Cs	que
j'	Pp	je
ai	Vuc	avoir
versé	Ge	verser
des	S+Da	de+le|de+les
larmes	Nc	larme
:	Fw	:
Et	Cc	et
s'	Cs	si
il	Pp	il
vous	Pp	vous
en	Pp	en
souvient	Vvc	souvenir
au	S+Da	à+le
milieu	Nc	milieu
des	S+Da	de+le|de+les
alarmes	Nc	alarme
;	Fw	;
Alors	Nc	alors
que	Cs	que
votre	Ds	votre
bras	Nc	bras
ira	Vvc	aller
de	S	de
toutes	Di	tout
parts	Nc	part
Signaler	Vvn	signaler
sa	Ds	son
valeur	Nc	valeur
dans	S	dans
les	Da	le
plus	Rg	plus
grands	Ag	grand
hasards	Nc	hasard
:	Fw	:
Connaissant	Ga	connaître
par	S	par
ces	Dd	ce
pleurs	Nc	pleur
que	Cs	que
ma	Ds	mon
flamme	Nc	flamme
est	Vuc	être
extrême	Ag	extrême
,	Fw	,
Brute	Vvc	brute
alors	Rg	alors
,	Fw	,
s'	Cs	si
il	Pp	il
se	Pp	il
peut	Vvc	pouvoir
,	Fw	,
épargnez	Vvc	épargner
ce	Pd	ce
que	Pr	que
j'	Pp	je
aime	Vvc	aimer
.	Fs	.
Adieu	Nc	adieu
,	Fw	,
ne	Rp	ne
tardez	Vvc	tarder
plus	Rg	plus
à	S	à
partir	Vvn	partir
de	S	de
ces	Dd	ce
lieux	Nc	lieu
:	Fw	:
Dérober	Nc	dérober
promptement	Rg	promptement
cet	Dd	ce
objet	Nc	objet
à	S	à
mes	Ds	mon
yeux	Nc	œil
;	Fw	;
Cet	Vvc	cet
objet	Nc	objet
trop	Rg	trop
charmant	Ga	charmer
,	Fw	,
qui	Pr	qui
trouble	Vvc	troubler
ma	Ds	mon
constance	Nc	constance
,	Fw	,
Plus	Vvc	plaire
j'	Pp	je
en	Pp	en
sens	Vvc	sentir
les	Da	le
douceurs	Nc	douceur
,	Fw	,
plus	Rg	plus
je	Pp	je
crains	Vvc	craindre
son	Ds	son
absence	Nc	absence
.	Fs	.
Adieu	Nc	adieu
donc	Rg	donc
,	Fw	,
ma	Ds	mon
Porcie	Nc	porcie
.	Fs	.
Adieu	Nc	adieu
,	Fw	,
souvenez	Vvc	souvenir
-vous	Nc	-vous
,	Fw	,
Que	Vvc	que
Brute	Ge	brute
est	Vuc	être
tout	Di	tout
mon	Ds	mon
bien	Nc	bien
,	Fw	,
que	Pr	que
Brute	Vvc	brute
est	Vuc	être
mon	Ds	mon
époux	Nc	époux
:	Fw	:
Et	Cc	et
si	Cs	si
le	Pp	il
Ciel	Vvc	ciel
,	Fw	,
hélas	I	hélas
!	Fs	!
par	S	par
un	Dn	un
coup	Nc	coup
trop	Rg	trop
funeste	Ag	funeste
...	Fs	...
Pardonnez	Vvc	pardonner
des	Dn	un
soupirs	Nc	soupir
qui	Pr	qui
vous	Pp	vous
diront	Vvc	dire
le	Da	le
reste	Nc	reste
.	Fs	.
Madame	Nc	madame
espérez	Vvc	espérer
mieux	Rg	mieux
,	Fw	,
adieu	Nc	adieu
;	Fw	;
Demeure	Vvc	demeurer
ici	Rg	ici
Maxime	Ag	maxime
,	Fw	,
prends	Vvc	prendre
soin	Nc	soin
d'	S	de
elle	Pp	il
;	Fw	;
et	Cc	et
toi	Pp	tu
Julie	Vvc	julie
aussi	Rg	aussi
.	Fs	.
Il	Pp	il
est	Vuc	être
parti	Nc	parti
,	Fw	,
Julie	Nc	julie
,	Fw	,
et	Cc	et
je	Pp	je
n'	Rp	ne
ose	Vvc	oser
m'	Pp	je
en	S	en
plaindre	Vvn	plaindre
Rome	Vvc	rome
me	Pp	je
le	Pp	il
défend	Vvc	défendre
,	Fw	,
lorsque	Cs	lorsque
j'	Pp	je
ai	Vuc	avoir
tout	Pi	tout
à	S	à
craindre	Vvn	craindre
;	Fw	;
Et	Vvc	et
mon	Ds	mon
coeur	Nc	cœur
ébranlé	Ge	ébranler
,	Fw	,
mais	Cc	mais
qui	Pr	qui
n'	Rp	ne
ose	Vvc	oser
faillir	Vvn	faillir
,	Fw	,
Gémit	Vvc	gémit
sous	S	sous
un	Dn	un
devoir	Nc	devoir
,	Fw	,
qu'	Cs	que
il	Pp	il
ne	Rp	ne
peut	Vvc	pouvoir
accomplir	Vvn	accomplir
.	Fs	.
Triste	Ag	triste
,	Fw	,
et	Cc	et
cruel	Ag	cruel
devoir	Nc	devoir
,	Fw	,
fier	Ag	fier
tyran	Nc	tyran
de	S	de
mon	Ds	mon
âme	Nc	âme
.	Fs	.
Toi	Pp	tu
,	Fw	,
qui	Pr	qui
vois	Vvc	voir
mon	Ds	mon
amour	Nc	amour
,	Fw	,
toi	Pp	tu
qui	Pr	qui
nourris	Vvc	nourrir
sa	Ds	son
flamme	Nc	flamme
,	Fw	,
Peux	Ag	peux
-tu	Nc	-tu
sans	S	sans
injustice	Nc	injustice
exiger	Vvn	exiger
de	S	de
mon	Ds	mon
coeur	Nc	cœur
:	Fw	:
Qu'	Cs	que
en	S	en
s'	Pp	se
ouvrant	Ga	ouvrer|ouvrir
à	S	à
l'	Da	le
amour	Nc	amour
,	Fw	,
il	Pp	il
se	Pp	il
ferme	Vvc	fermer
à	S	à
la	Da	le
peur	Nc	peur
?	Fs	?
Forces	Nc	force|forcé
-tu	Vvc	-tu
la	Da	le
nature	Nc	nature
,	Fw	,
et	Cc	et
par	S	par
tes	Ds	ton
tyrannies	Nc	tyrannie
Oses	Ag	oses
-tu	Vvc	-tu
séparer	Vvn	séparer
deux	Nc	deux
passions	Vvc	passer
unies	Ge	unir
?	Fs	?
Lorsqu'	Cs	lorsque
on	Pp	on
voit	Vvc	voir
un	Dn	un
époux	Nc	époux
au	S+Da	à+le
milieu	Nc	milieu
des	S+Da	de+le|de+les
combats	Nc	combat
Un	Vvc	un
coeur	Nc	cœur
est-il	Ag	est-il
humain	Ag	humain
,	Fw	,
s'	Cs	si
il	Pp	il
l'	Pp	il
aime	Vvc	aimer
,	Fw	,
et	Cc	et
ne	Rp	ne
craint	Vvc	craindre
pas	Rg	pas
?	Fs	?
Rome	Vvc	rome
qui	Pr	qui
fais	Vvc	faire
ces	Dd	ce
lois	Nc	loi
,	Fw	,
et	Cc	et
qui	Pr	qui
les	Pp	ils
justifies	Vvc	justifier
,	Fw	,
Qui	Vvc	qui
régnez	Vvc	régner
sur	S	sur
nos	Ds	notre
coeurs	Nc	cœur
autant	Rg	autant
que	Cs	que
sur	S	sur
nos	Ds	notre
vies	Nc	vie
:	Fw	:
Et	Cc	et
vous	Pp	vous
,	Fw	,
braves	Ag	brave
héros	Nc	héros
,	Fw	,
qui	Pr	qui
parmi	S	parmi
vos	Ds	votre
malheurs	Nc	malheur
Dévoriez	Vvc	dévoriez
constamment	Rg	constamment
vos	Ds	votre
soupirs	Nc	soupir
,	Fw	,
et	Cc	et
vos	Ds	votre
pleurs	Nc	pleur
;	Fw	;
Ombres	Vvc	ombrer
des	Dn	un
Scipions	Nc	scipions
,	Fw	,
des	S+Da	de+le|de+les
Catons	Nc	catons
,	Fw	,
des	S+Da	de+le|de+les
Pompées	Nc	pompées
,	Fw	,
Si	Vvc	si
quelque	Di	quelque
plus	Rg	plus
grand	Ag	grand
soin	Nc	soin
ne	Rp	ne
vous	Pp	vous
tient	Vvc	tenir
occupées	Ge	occuper
,	Fw	,
Descendez	Vvc	descendre
dans	S	dans
mon	Ds	mon
âme	Nc	âme
,	Fw	,
et	Cc	et
prêtez	Vvc	prêter
vos	Ds	votre
esprits	Nc	esprit
À	Nc	à
ce	Dd	ce
coeur	Nc	cœur
amoureux	Ag	amoureux
,	Fw	,
que	Cs	que
la	Da	le
crainte	Nc	crainte
a	Vuc	avoir
surpris	Ge	surprendre
.	Fs	.
Que	Cs	que
vos	Ds	votre
illustres	Ag	illustre
noms	Nc	nom
sont	Vuc	être
chers	Ag	cher
à	S	à
ma	Ds	mon
mémoire	Nc	mémoire
!	Fs	!
Qu'	Cs	que
ils	Pp	ils
servent	Vvc	servir
à	S	à
propos	Nc	propos
mon	Ds	mon
amour	Nc	amour
,	Fw	,
et	Cc	et
ma	Ds	mon
gloire	Nc	gloire
!	Fs	!
Dès	Vvc	dès
lors	Rg	lors
qu'	Cs	que
à	S	à
mon	Ds	mon
esprit	Nc	esprit
vous	Pp	vous
les	Pp	ils
avez	Vuc	avoir
fait	Ge	faire
voir	Vvn	voir
,	Fw	,
Il	Vvc	il
a	Vuc	avoir
conçu	Ge	concevoir
pour	S	pour
Brute	Vvc	brute
un	Dn	un
glorieux	Ag	glorieux
espoir	Nc	espoir
.	Fs	.
Oui	Rg	oui
je	Pp	je
sens	Vvc	sentir
sa	Ds	son
victoire	Nc	victoire
,	Fw	,
et	Cc	et
vos	Ds	votre
âmes	Nc	âme
romaines	Ag	romain
Voyant	Ga	voir
revivre	Vvn	revivre
en	S	en
lui	Pp	il
vos	Ds	votre
desseins	Nc	dessein
,	Fw	,
et	Cc	et
vos	Ds	votre
haines	Nc	haine
,	Fw	,
Me	Vvc	me
viennent	Vvc	venir
avertir	Vvn	avertir
par	S	par
des	Dn	un
avis	Nc	avis
secrets	Ag	secret
Que	Vvc	que
vous	Pp	vous
devez	Vvc	devoir
par	S	par
lui	Pp	il
venger	Vvn	venger
vos	Ds	votre
intérêts	Nc	intérêt
.	Fs	.
Va	Vvc	aller
donc	Rg	donc
brute	Nc	brute
appuyé	Ge	appuyer
par	S	par
ces	Dd	ce
divins	Ag	divin
génies	Nc	génie
Triompher	Nc	triompher
des	S+Da	de+le|de+les
Césars	Nc	césars
,	Fw	,
punir	Vvn	punir
leurs	Ds	leur
tyrannies	Nc	tyrannie
,	Fw	,
Vois	Vvc	voir
ce	Pd	ce
que	Pr	que
tes	Ds	ton
aïeux	Nc	aïeul
ont	Vuc	avoir
fait	Ge	faire
par	S	par
le	Da	le
passé	Ge	passer
:	Fw	:
Et	Cc	et
tâche	Vvc	tâcher
d'	S	de
achever	Vvn	achever
ce	Pd	ce
qu'	Pr	que
ils	Pp	ils
ont	Vuc	avoir
commencé	Ge	commencer
.	Fs	.
Qu'	Pt	que
Octave	Vvc	octave
palissant	Ga	palisser|pâlir
à	S	à
ce	Dd	ce
seul	Ag	seul
nom	Nc	nom
de	S	de
Brute	Vvc	brute
,	Fw	,
Craignent	Vvc	craindre
de	S	de
nos	Ds	notre
Tarquins	Nc	tarquins
,	Fw	,
et	Cc	et
la	Da	le
honte	Nc	honte
,	Fw	,
et	Cc	et
la	Da	le
chute	Nc	chute
,	Fw	,
Et	Vvc	et
qu'	Cs	que
il	Pp	il
éprouve	Vvc	éprouver
enfin	Rg	enfin
que	Cs	que
tes	Ds	ton
fameux	Ag	fameux
parents	Nc	parent
Ont	Vvc	ont
remis	Ge	remettre
dans	S	dans
tes	Ds	ton
mains	Nc	main
la	Da	le
foudre	Nc	foudre
des	S+Da	de+le|de+les
tyrans	Nc	tyran
.	Fs	.
Oui	Rg	oui
,	Fw	,
Julie	Nc	julie
,	Fw	,
aussitôt	Rg	aussitôt
que	Cs	que
j'	Pp	je
offre	Vvc	offrir
à	S	à
ma	Ds	mon
mémoire	Nc	mémoire
Cette	Vvc	cette
suite	Nc	suite
des	S+Da	de+le|de+les
rois	Nc	roi
,	Fw	,
qui	Pr	qui
noircit	Vvc	noircir
notre	Ds	notre
histoire	Nc	histoire
,	Fw	,
Et	Vvc	et
qu'	Cs	que
un	Pi	un
Brute	Vvc	brute
jaloux	Ag	jaloux
de	S	de
notre	Ds	notre
liberté	Nc	liberté
Rendit	Vvc	rendre
leur	Ds	leur
nom	Nc	nom
horrible	Ag	horrible
à	S	à
la	Da	le
postérité	Nc	postérité
:	Fw	:
Lorsqu'	Cs	lorsque
il	Pp	il
me	Pp	je
ressouvient	Vvc	ressouvenir
que	Cs	que
ce	Dd	ce
grand	Ag	grand
politique	Nc	politique
D'	Nc	d'
un	Dn	un
règne	Nc	règne
violent	Ag	violent
fit	Vvc	faire
une	Dn	un
république	Nc	république
,	Fw	,
Et	Vvc	et
faisant	Ga	faire
des	Dn	un
Consuls	Nc	consul
un	Dn	un
légitime	Ag	légitime
choix	Nc	choix
,	Fw	,
Mit	Vvc	mettre
des	Dn	un
pères	Nc	père
dans	S	dans
Rome	Vvc	rome
à	S	à
la	Da	le
place	Nc	place
des	S+Da	de+le|de+les
rois	Nc	roi
:	Fw	:
Quand	Cs	quand
je	Pp	je
vois	Vvc	voir
mon	Ds	mon
époux	Nc	époux
digne	Ag	digne
sang	Nc	sang
d'	S	de
un	Dn	un
tel	Ag	tel
homme	Nc	homme
Renouvelant	Ga	renouveler
l'	Da	le
ardeur	Nc	ardeur
de	S	de
notre	Ds	notre
ancienne	Ag	ancien
Rome	Nc	rome
,	Fw	,
Immoler	Nc	immoler
par	S	par
sa	Ds	son
main	Nc	main
ce	Dd	ce
César	Nc	césar
plein	Ag	plein
d'	S	de
effroi	Nc	effroi
,	Fw	,
Qui	Vvc	qui
sous	S	sous
ce	Dd	ce
nom	Nc	nom
fameux	Ag	fameux
cachait	Vvc	cacher
celui	Pd	celui
de	S	de
Roi	Nc	roi
,	Fw	,
Et	Vvc	et
qu'	Cs	que
ensuite	Rg	ensuite
je	Pp	je
vois	Vvc	voir
qu'	Cs	que
il	Pp	il
s'	Pp	se
arme	Vvc	armer
,	Fw	,
et	Cc	et
qu'	Cs	que
il	Pp	il
s'	Pp	se
expose	Vvc	exposer
,	Fw	,
Et	Vvc	et
pour	S	pour
la	Da	le
même	Ag	même
Rome	Nc	rome
,	Fw	,
et	Cc	et
pour	S	pour
la	Da	le
même	Ag	même
cause	Nc	cause
;	Fw	;
Sans	Vvc	sans
craindre	Vvn	craindre
des	Dn	un
destins	Nc	destin
les	Da	le
ordres	Nc	ordre
inconstants	Ag	inconstant
Je	Vvc	je
vois	Vvc	voir
dans	S	dans
le	Da	le
passé	Ge	passer
le	Da	le
succès	Nc	succès
que	Pr	que
j'	Pp	je
attends	Vvc	attendre
.	Fs	.
Mais	Cc	mais
Maxime	Vvc	maxime
est	Vuc	être
ici	Rg	ici
,	Fw	,
certes	Rg	certes
cela	Pd	cela
m'	Pp	je
étonne	Vvc	étonner
Quand	Nc	quand
Brute	Vvc	brute
est	Vuc	être
au	S+Da	à+le
combat	Nc	combat
,	Fw	,
Maxime	Vvc	maxime
l'	Da	le
abandonne	Nc	abandonné
.	Fs	.
Quoi	Pt	quoi
ce	Dd	ce
zèle	Nc	zèle
,	Fw	,
ce	Dd	ce
coeur	Nc	cœur
,	Fw	,
si	Rg	si
grand	Ag	grand
,	Fw	,
et	Cc	et
si	Rg	si
connu	Ge	connaître
,	Fw	,
Se	Vvc	se
dément-il	Vvc	dément-il
sitôt	Rg	sitôt
,	Fw	,
ou	Cc	ou
qu'	Cs	que
est-il	Ag	est-il
devenu	Ge	devenir
?	Fs	?
Veut-il	Vvc	veut-il
suivre	Vvn	suivre
le	Da	le
sort	Nc	sort
de	S	de
ces	Dd	ce
âmes	Nc	âme
serviles	Ag	servile
?	Fs	?
Qui	Pr	qui
sans	S	sans
s'	Pp	se
intéresser	Vvn	intéresser
dans	S	dans
nos	Ds	notre
guerres	Nc	guerre
civiles	Ag	civil
,	Fw	,
Et	Vvc	et
suivant	Ga	suivre
du	S+Da	de+le
vainqueur	Nc	vainqueur
la	Da	le
fortune	Nc	fortune
,	Fw	,
et	Cc	et
l'	Da	le
appui	Nc	appui
,	Fw	,
Triomphent	Vvc	triompher
sans	S	sans
combattre	Vvn	combattre
,	Fw	,
et	Cc	et
vainquent	Vvc	vaincre
par	S	par
autrui	Pi	autrui
.	Fs	.
Donc	Rg	donc
,	Fw	,
de	S	de
la	Da	le
liberté	Nc	liberté
fais	Vvc	faire
-tu	Vvc	-tu
si	Rg	si
peu	Rg	peu
de	S	de
compte	Nc	compte
?	Fs	?
Quoi	Pt	quoi
?	Fs	?
Maxime	Nc	maxime
,	Fw	,
ce	Dd	ce
front	Nc	front
craint-il	Vvc	craint-il
si	Rg	si
peu	Rg	peu
la	Da	le
honte	Nc	honte
?	Fs	?
Et	Cc	et
ton	Ds	ton
coeur	Nc	cœur
trop	Rg	trop
jaloux	Ag	jaloux
de	S	de
tout	Di	tout
le	Da	le
sang	Nc	sang
Romain	Ag	romain
Craint-il	Vvc	craint-il
d'	S	de
en	Pp	en
prodiguer	Vvn	prodiguer
,	Fw	,
ou	Cc	ou
d'	S	de
en	Pp	en
souiller	Vvn	souiller
ta	Ds	ton
main	Nc	main
?	Fs	?
Non	Rg	non
,	Fw	,
ne	Rp	ne
perds	Vvc	perdre
